"cohort_month","month_offset","total_customers","retention_rate"
"1/02/2017 12:00:00 AM","9","4","0.00228310502283105"
"1/02/2017 12:00:00 AM","10","2","0.00114155251141553"
"1/02/2017 12:00:00 AM","11","5","0.00285388127853881"
"1/02/2017 12:00:00 AM","12","3","0.00171232876712329"
"1/02/2017 12:00:00 AM","13","3","0.00171232876712329"
"1/02/2017 12:00:00 AM","14","2","0.00114155251141553"
"1/02/2017 12:00:00 AM","15","1","0.000570776255707763"
"1/02/2017 12:00:00 AM","16","1","0.000570776255707763"
"1/02/2017 12:00:00 AM","17","4","0.00228310502283105"
"1/02/2017 12:00:00 AM","18","0","0"
"1/02/2017 12:00:00 AM","19","0","0"
"1/02/2017 12:00:00 AM","20","0","0"
"1/03/2017 12:00:00 AM","0","2636","1"
"1/03/2017 12:00:00 AM","1","13","0.00493171471927162"
"1/03/2017 12:00:00 AM","2","10","0.00379362670713202"
"1/03/2017 12:00:00 AM","3","10","0.00379362670713202"
"1/03/2017 12:00:00 AM","4","9","0.00341426403641882"
"1/03/2017 12:00:00 AM","5","4","0.00151745068285281"
"1/03/2017 12:00:00 AM","6","4","0.00151745068285281"
"1/03/2017 12:00:00 AM","7","8","0.00303490136570561"
"1/03/2017 12:00:00 AM","8","9","0.00341426403641882"
"1/03/2017 12:00:00 AM","9","2","0.000758725341426404"
"1/03/2017 12:00:00 AM","10","10","0.00379362670713202"
"1/03/2017 12:00:00 AM","11","4","0.00151745068285281"
"1/03/2017 12:00:00 AM","12","6","0.00227617602427921"
"1/03/2017 12:00:00 AM","13","3","0.00113808801213961"
"1/03/2017 12:00:00 AM","14","4","0.00151745068285281"
"1/03/2017 12:00:00 AM","15","6","0.00227617602427921"
"1/03/2017 12:00:00 AM","16","2","0.000758725341426404"
"1/03/2017 12:00:00 AM","17","4","0.00151745068285281"
"1/03/2017 12:00:00 AM","18","0","0"
"1/03/2017 12:00:00 AM","19","0","0"
"1/04/2017 12:00:00 AM","0","2352","1"
"1/04/2017 12:00:00 AM","1","14","0.00595238095238095"
"1/04/2017 12:00:00 AM","2","5","0.00212585034013605"
"1/04/2017 12:00:00 AM","3","4","0.00170068027210884"
"1/04/2017 12:00:00 AM","4","8","0.00340136054421769"
"1/04/2017 12:00:00 AM","5","6","0.00255102040816327"
"1/04/2017 12:00:00 AM","6","8","0.00340136054421769"
"1/04/2017 12:00:00 AM","7","7","0.00297619047619048"
"1/04/2017 12:00:00 AM","8","7","0.00297619047619048"
"1/04/2017 12:00:00 AM","9","4","0.00170068027210884"
"1/04/2017 12:00:00 AM","10","6","0.00255102040816327"
"1/04/2017 12:00:00 AM","11","2","0.000850340136054422"
"1/04/2017 12:00:00 AM","12","2","0.000850340136054422"
"1/04/2017 12:00:00 AM","13","1","0.000425170068027211"
"1/04/2017 12:00:00 AM","14","2","0.000850340136054422"
"1/04/2017 12:00:00 AM","15","2","0.000850340136054422"
"1/04/2017 12:00:00 AM","16","5","0.00212585034013605"
"1/04/2017 12:00:00 AM","17","0","0"
"1/04/2017 12:00:00 AM","18","0","0"
"1/05/2017 12:00:00 AM","0","3596","1"
"1/05/2017 12:00:00 AM","1","18","0.0050055617352614"
"1/05/2017 12:00:00 AM","2","18","0.0050055617352614"
"1/05/2017 12:00:00 AM","3","14","0.00389321468298109"
"1/05/2017 12:00:00 AM","4","11","0.00305895439377086"
"1/05/2017 12:00:00 AM","5","12","0.00333704115684093"
"1/05/2017 12:00:00 AM","6","15","0.00417130144605117"
"1/05/2017 12:00:00 AM","7","6","0.00166852057842047"
"1/05/2017 12:00:00 AM","8","9","0.0025027808676307"
"1/05/2017 12:00:00 AM","9","11","0.00305895439377086"
"1/05/2017 12:00:00 AM","10","9","0.0025027808676307"
"1/05/2017 12:00:00 AM","11","12","0.00333704115684093"
"1/05/2017 12:00:00 AM","12","9","0.0025027808676307"
"1/05/2017 12:00:00 AM","13","1","0.000278086763070078"
"1/05/2017 12:00:00 AM","14","7","0.00194660734149054"
"1/05/2017 12:00:00 AM","15","9","0.0025027808676307"
"1/05/2017 12:00:00 AM","16","0","0"
"1/05/2017 12:00:00 AM","17","0","0"
"1/06/2017 12:00:00 AM","0","3139","1"
"1/06/2017 12:00:00 AM","1","15","0.00477859190825104"
"1/06/2017 12:00:00 AM","2","11","0.00350430073271743"
"1/06/2017 12:00:00 AM","3","13","0.00414144632048423"
"1/06/2017 12:00:00 AM","4","8","0.00254858235106722"
"1/06/2017 12:00:00 AM","5","12","0.00382287352660083"
