"customer_unique_id","days_to_second_order"
"0ac10a57d07e3d38b11f66283c44672b","0"
"0ac4a9460c1baf3051ffec5c9021a499","22"
"0ad1d79346c3b98b517348ecbbadfbc6","51"
"0ad7cb4f48f2a2cf5080e3c19c7cf98c","201"
"0b18593e033697810a62a987e77f4b8c","12"
"0b3dc7efaafb0cf78a4796d42fa8d74c","297"
"0b402d6dd50694a118c642448e2cb086","216"
"0b51518c7deffd54b13b007c9f91c3f0","60"
"0b6d4f036c07e10854affe43fc4e718c","0"
"0b8ed32525608a907c7331b613b5b67e","0"
"0bc9c245cd69735af23eefdd89d74e7e","69"
"0bdb6ad22574bad5202df1e92a9aa403","0"
"0be7af6c16fbca7eff244788f89146a3","0"
"0bf1278577a2acf8532a031d98cd517c","67"
"0c10e674d1504f959a7f2e504148c296","180"
"0c1201c04330536234aaa49b396745d4","193"
"0c32aa09e8eced3ea26c2a013b7b75e9","197"
"0c4c416f1f9844e6805b074f8f96f52c","14"
"0c8286526be3a0fc8f50b7267db95035","336"
"0c8ac932c65f67489929f9164a86606d","46"
"0c9abfaffa0ae7587cebfdf0d680e3b7","144"
"0cbcf91ef2dd6dfcce9ee63c8772dc97","0"
"0cc2ee1112a11a1094eff52fa2e87150","141"
"0ceb502fc33a2ad327b08288c5310e2e","26"
"0cf46588cd3f5a23002166b5a1945820","34"
"0cfd915db480acd7d9a954409cabfb1c","9"
"0d153268371aa25450d4117ff070277e","50"
"0d4644eff058d75937ca1eec574bf87d","68"
"0d51e04ae0b1d341e4f49812d1f4fbe2","210"
"0d52f8cd8892f109a15803df169113b6","0"
"0d57344e9e4e9d16dc699cb417e50cb0","3"
"0d7241c7fb49c1be6e75c9fe99e0822c","104"
"0d997d092f93b5c58d0f9b4bd0643d16","6"
"0dc81b520ef7db9cb44bb075e129dcf8","143"
"0dd933d1e0253343083013791bf5d5e9","164"
"0ddba04798f1c085d0ca93af0e91f6c1","0"
"0df55f5accedda71bda8f4c7f590951f","73"
"0e06af8004ffd01a3461e768f9f659aa","76"
"0e37a80826485260170d428b06df0ab6","0"
"0e381ce773b382849206115413009851","11"
"0e3c753956e35026b965d9ac3590c5af","0"
"0e4cb268bd62da7db135af6349b4fc2a","0"
"0e4d012fac3d20c033e0284fb6d2ea6a","113"
"0e730550dfc5d7f1cea73484bb2e0249","12"
"0e78a1b66adee5bb3a6f014714f79cf4","0"
"0e850ed5adc4abe0346435eda5b1a626","0"
"0ea353565cdde00e1d8352a08290a352","185"
"0ecc403ec5d6ce000fd84f00cd5efb0a","0"
"0ecf7f65b5ff3b9e61b637e59f495e0a","0"
"0ee57f62666561b72f2ceacad0230cbf","114"
"0ef7b906320b21fe4d39f99496aaa2d8","444"
"0efd5025e6544ef110881866b945d0cc","180"
"0f0b49d45120fcb28bda56e94bc85673","0"
"0f0e48a91c9c285404572b095bcb373c","112"
"0f10d99ee99ca3d0489f2f2169b41ec3","0"
"0f187f58097c5431d5244e1fe1383884","120"
"0f1bd80ed58b9d0f45dca1bb396d8ac9","147"
"0f26a77f8de836d7c44b4694e0fa3ea4","21"
"0f38a44168ec569a3f783ebf98d79095","0"
"0f5ac8d5c31de21d2f25e24be15bbffb","4"
"0f6371fc9c2e78818a6e7aa33022a506","0"
"0f64cafdb3e1e4806c99ff165305e27f","54"
"0f9349a9da479b7e02c4cb4a0c73fb47","305"
"0fd39b61ec94864f92e18e5d7144bc6c","139"
"0fd475edfa0b61c59ecde6f89c21dedb","134"
"0ffc908947e1f0c9f17647058b9a58c2","17"
"100f480d33281b45b97c07395968e56c","0"
"1015173479527a15ccb63606a74f404e","1"
"10351fa9e690ca750568e3c19978d69e","20"
"1041688b50cfd8ef6df6086a1746a30c","230"
"10867a902e32dd54061b2cda9c55b0b6","0"
"10a4b9f45f67e6bc9ca4032b9203272c","0"
"10b442e762ba8a5ad22de5ba2207e5f1","74"
"10b58cbd6607267fd41812614367439e","343"
"10bf8afdd66da75c386fbacf04c85710","53"
"110991b379efbcebb0d35cbd20bf9698","61"
"1118a7bb7ba893f10740e22a23aa5bd9","158"
"1118bbd6c82a824ebc677b12e525864f","0"
"11395124061744bf276aefd8073f3105","0"
"115030e27b9970683ad81cb05679157c","41"
"1175e95fb47ddff9de6b2b06188f7e0d","0"
"118be57d1b7de439453a0c6625ad7934","6"
"1197ba886110324a1519fff17dd8d1d2","14"
"11b47516f8f6a42105b9807903ede333","285"
"11e95918d6816403858e8314a3503f4c","168"
"11ebea68a1046fa3268cb278df2c4f31","0"
"120a6e1875940fe48a44d6cf30706230","0"
"121b5a0ae9d09a2ca5e8090fd2a00a58","51"
"1225c9614c5129a3085416d30d50e143","0"
"12328d63390726821fdcd8e8b77f10b5","0"
"124bc956b56b1523d2a75b29a856085d","76"
"124ef8d5acc80858c69d34e3e08b572d","328"
"125740359669fa63858476105a5d523d","138"
"1291474366a550ebc251d9187e763d62","113"
"12ab9334b1240d6d037f2b0102a49571","0"
"12b62a8d3c4911b9a80b935037842fc0","0"
"12c54f6dfd4b723a6c76c4c989494422","49"
"12c9171ee18219cbf18fcfbc33e0c064","0"
"12d8b5ed661190a3a08183644dfc504d","337"
"12f5d6e1cbf93dafd9dcc19095df0b3d","0"
"130f4a32887cc549621b3c6cf36bf77e","292"
"131b8a51429529f4e57e8faa1b87ff4f","0"
"133e20311ec257bda38f1798250d38c5","6"
"13473af264dea0facd893d6516900b22","168"
"13607978e0686d841deb64954c023495","179"
"13613cae6e3bfea8327a916246c96cc9","0"
"1372bab98f9966bcd4a6fa3e6df6dde8","147"
"1373e04979cfa0fb2092909abbd57f25","63"
"139093b1c6e7e3108ac0469ce43bfb99","351"
"13abc50b97af7425b5066e405d7cd760","6"
"13aec51202205c662b24202760e93a92","0"
"13bf0b4120921402dff563cda4383ff6","245"
"1412559410af5e92c35e053fd6acd006","0"
"142575266950512b56af193f3962270a","162"
"142dc6250eac579893595d9889411834","216"
"1450ca0539e1e64a77c08ba841c8be94","194"
"1477c54a1abe3610e3e9ab411801cecb","22"
"14843983d4a159080f6afe4b7f346e7c","0"
"149c19901ddcd1057deaabc003004a12","0"
"14a188558af6cd5bc222ca773d395a7f","40"
"1500da334da019c68fda219f942ba38a","15"
"1501fb94311512e6b98462d159e05a23","0"
"1506abf10c09a2872e24d79f33e4eb12","24"
"151e9edb34867eaece4d6e7ae188f261","76"
"155af62b6c947689a67af5c16acd5c55","65"
"156283b6ca35ef976a0265903145fd5e","0"
"1581a918a58a11d99c69f86d9c0d2098","1"
"158ff08f9b1aeebfa96820580f3877a6","0"
"1590457b4be348b165ff7030a6f94dce","113"
"159306b86e782097be9a4e29e3d294d3","0"
"15a38a0c1bf789e06ec42d24e485e794","172"
"15a52a044cbf18c87283f8c460ad5ccf","2"
"15eb6c5aa4aa23cbdb42e119220d23ec","27"
"1605a6c5d93d3488fb621c5323930795","0"
