"customer_type","customer_count","customer_proportion","total_revenue","revenue_proportion"
"Repeat","2801","0.0300031063551742","864357.210000001","0.0560453462547335"
"One-time","90556","0.969996893644826","14558104.5599993","0.943954653745267"
