"segment","total_customers","cust_prop","total_orders","orders_prop","total_revenue","rev_prop","avg_revenue"
"Needs Attention","55114","0.573536604401894","55237","0.555480691874497","12560609.6799994","0.784603036731608","227.902342054639"
"Potential / New","22284","0.231895520058276","22284","0.224094931617056","1629784.14999989","0.101805057706961","73.1369659845578"
"Hibernating","15822","0.164649565534107","15822","0.159111021721641","882490.349999981","0.0551250796049223","55.776156617367"
"Loyalists","1314","0.0136739684687028","2737","0.0275241351568785","389492.05","0.0243297620894493","296.417085235921"
"Champions","1062","0.0110515635568968","2325","0.023380933226066","406176.31","0.0253719504381936","382.46356873823"
"At Risk","499","0.00519277798012384","1035","0.0104082864038616","140319.58","0.00876511342886576","281.201563126253"
