"entity_type","top_5_total","top_5_prop","top_10_total","top_10_prop","top_20_total","top_20_prop"
"Customers","4132090.86","0.267926801934963","5898641.87000002","0.382470837533513","8254039.93999997","0.535196005870899"
"Sellers","8039596.93","0.521382288764126","10221743.27","0.662898394991041","12585735.46","0.816207530930859"
"Products","7144396.15999999","0.463326912303115","9119891.50999998","0.591441330972845","11273737.61","0.731122115848176"
